BranchCode,ItemCode,OpeningStock,PurchasedQty,SoldQty,CurrentStock,UnitCost,InventoryValue
LLM,MOUSE001,48,540,243,345,5000,1725000
LLM,MOUSE002,38,547,236,349,3000,1047000
LLM,KB001,24,479,208,295,7000,2065000
LLM,KB002,17,607,264,360,12000,4320000
LLM,BAG001,30,438,246,222,6500,1443000
LLM,BAG002,48,563,257,354,10000,3540000
LLM,HEAD001,28,443,235,236,9000,2124000
LLM,CAM001,32,646,292,386,12000,4632000
LLM,PAD001,20,458,246,232,2500,580000
LLM,HUB001,20,448,214,254,7000,1778000
LLM,RAM001,33,254,50,237,55000,13035000
LLM,RAM002,45,164,41,168,95000,15960000
LLM,PSU001,49,296,68,277,65000,18005000
LLM,FAN001,33,199,64,168,18000,3024000
LLM,SSD001,12,238,83,167,55000,9185000
LLM,SSD002,31,180,71,140,80000,11200000
LLM,SSD003,11,162,45,128,145000,18560000
LLM,HDD001,33,200,67,166,85000,14110000
LLM,ROUT001,39,666,86,619,45000,27855000
LLM,ROUT002,47,444,74,417,75000,31275000
LLM,LAN001,11,634,61,584,5000,2920000
LLM,SW001,30,388,93,325,55000,17875000
LLM,SOFT001,42,411,92,361,30000,10830000
LLM,SOFT002,21,545,72,494,85000,41990000
LLM,SOFT003,31,485,64,452,90000,40680000
LLM,LAP001,34,50,18,66,1800000,118800000
LLM,LAP002,36,50,23,63,1450000,91350000
LLM,LAP003,37,70,19,88,2800000,246400000
LLM,DESK001,25,71,24,72,1200000,86400000
LLM,MON001,24,48,28,44,350000,15400000
LLM,MON002,12,53,19,46,500000,23000000
TGI,MOUSE001,46,1251,305,992,5000,4960000
TGI,MOUSE002,16,782,346,452,3000,1356000
TGI,KB001,30,921,284,667,7000,4669000
TGI,KB002,18,637,311,344,12000,4128000
TGI,BAG001,48,908,300,656,6500,4264000
TGI,BAG002,27,690,298,419,10000,4190000
TGI,HEAD001,13,674,304,383,9000,3447000
TGI,CAM001,34,757,320,471,12000,5652000
TGI,PAD001,23,683,344,362,2500,905000
TGI,HUB001,18,811,315,514,7000,3598000
TGI,RAM001,35,267,93,209,55000,11495000
TGI,RAM002,11,316,89,238,95000,22610000
TGI,PSU001,29,297,79,247,65000,16055000
TGI,FAN001,37,374,99,312,18000,5616000
TGI,SSD001,16,301,84,233,55000,12815000
TGI,SSD002,17,360,63,314,80000,25120000
TGI,SSD003,44,283,88,239,145000,34655000
TGI,HDD001,23,335,75,283,85000,24055000
TGI,ROUT001,26,711,61,676,45000,30420000
TGI,ROUT002,45,973,60,958,75000,71850000
TGI,LAN001,49,704,61,692,5000,3460000
TGI,SW001,13,793,72,734,55000,40370000
TGI,SOFT001,11,583,63,531,30000,15930000
TGI,SOFT002,15,805,74,746,85000,63410000
TGI,SOFT003,13,481,54,440,90000,39600000
TGI,LAP001,38,104,20,122,1800000,219600000
TGI,LAP002,27,126,22,131,1450000,189950000
TGI,LAP003,35,82,28,89,2800000,249200000
TGI,DESK001,43,93,21,115,1200000,138000000
TGI,MON001,19,129,23,125,350000,43750000
TGI,MON002,45,135,21,159,500000,79500000
