PurchaseID,PurchaseDate,BranchCode,SupplierCode,ItemCode,Quantity,UnitBuyPrice,TotalCost
PUR00001,2025-12-12,TGI,SUP007,MON002,2,478033.27,956066.54
PUR00002,2026-03-07,LLM,SUP001,RAM001,5,58751.64,293758.2
PUR00003,2025-10-20,TGI,SUP007,DESK001,5,1265142.73,6325713.65
PUR00004,2025-11-04,LLM,SUP002,KB002,39,12136.66,473329.74
PUR00005,2025-12-10,TGI,SUP006,SOFT002,29,81915.71,2375555.59
PUR00006,2026-06-11,TGI,SUP003,FAN001,3,17694.16,53082.48
PUR00007,2026-05-26,LLM,SUP004,PAD001,15,2640.34,39605.1
PUR00008,2026-01-22,TGI,SUP001,RAM002,12,102379.78,1228557.36
PUR00009,2025-10-30,LLM,SUP003,HEAD001,6,9359.52,56157.12
PUR00010,2026-03-27,TGI,SUP006,SOFT001,19,30420.82,577995.58
PUR00011,2026-07-14,TGI,SUP003,CAM001,36,12446.98,448091.28
PUR00012,2026-01-29,LLM,SUP007,DESK001,4,1230302.92,4921211.68
PUR00013,2026-06-15,TGI,SUP002,SSD002,14,83431.79,1168045.06
PUR00014,2026-01-25,TGI,SUP003,HUB001,30,6973.94,209218.2
PUR00015,2025-11-25,LLM,SUP006,SOFT001,9,31167.46,280507.14
PUR00016,2025-09-16,LLM,SUP003,HEAD001,14,8577.23,120081.22
PUR00017,2025-12-24,LLM,SUP007,MON001,1,356811.9,356811.9
PUR00018,2025-11-23,TGI,SUP007,MON001,2,352589.64,705179.28
PUR00019,2026-04-03,TGI,SUP005,ROUT002,29,77020.92,2233606.68
PUR00020,2026-06-19,LLM,SUP002,SSD002,15,86086.74,1291301.1
PUR00021,2026-07-14,LLM,SUP003,CAM001,32,12409.08,397090.56
PUR00022,2026-01-14,LLM,SUP003,HUB001,37,7357.62,272231.94
PUR00023,2026-01-24,TGI,SUP002,KB002,25,12102.85,302571.25
PUR00024,2025-09-01,TGI,SUP007,MON002,4,538730.08,2154920.32
PUR00025,2026-07-03,TGI,SUP002,KB001,15,6719.04,100785.6
PUR00026,2026-05-07,TGI,SUP006,SOFT002,29,86066.66,2495933.14
PUR00027,2026-04-02,LLM,SUP007,LAP002,2,1444256.65,2888513.3
PUR00028,2025-09-15,LLM,SUP007,MON002,4,516984.62,2067938.48
PUR00029,2026-04-14,LLM,SUP007,LAP001,1,1824835.21,1824835.21
PUR00030,2025-11-01,TGI,SUP003,FAN001,14,17572.05,246008.7
PUR00031,2026-02-15,TGI,SUP005,ROUT001,18,47427.29,853691.22
PUR00032,2026-06-18,LLM,SUP002,SSD003,5,145884.31,729421.55
PUR00033,2025-11-06,TGI,SUP006,SOFT002,16,89279.3,1428468.8
PUR00034,2025-12-04,TGI,SUP006,SOFT003,9,93774.69,843972.21
PUR00035,2025-12-15,TGI,SUP002,SSD003,11,137837.31,1516210.41
PUR00036,2026-06-18,LLM,SUP002,SSD001,14,56075.75,785060.5
PUR00037,2026-08-26,TGI,SUP003,HUB001,7,6989.71,48927.97
PUR00038,2026-02-09,TGI,SUP004,PAD001,37,2442.56,90374.72
PUR00039,2026-01-25,LLM,SUP002,SSD003,10,156324.17,1563241.7
PUR00040,2026-04-03,TGI,SUP002,KB001,16,6837.84,109405.44
PUR00041,2026-08-28,LLM,SUP005,ROUT002,40,78260.7,3130428.0
PUR00042,2026-06-22,TGI,SUP003,HUB001,29,6874.23,199352.67
PUR00043,2026-01-09,LLM,SUP004,PAD001,30,2391.77,71753.1
PUR00044,2025-09-26,LLM,SUP001,BAG001,39,6648.77,259302.03
PUR00045,2026-06-28,LLM,SUP004,LAN001,33,5248.67,173206.11
PUR00046,2026-07-15,TGI,SUP004,HDD001,7,89439.11,626073.77
PUR00047,2026-03-17,TGI,SUP005,SW001,13,58883.43,765484.59
PUR00048,2026-04-29,LLM,SUP006,SOFT001,29,30648.34,888801.86
PUR00049,2026-04-14,TGI,SUP002,KB002,23,12754.33,293349.59
PUR00050,2025-12-01,TGI,SUP006,SOFT002,16,80820.56,1293128.96
PUR00051,2026-04-12,LLM,SUP006,SOFT003,26,93790.29,2438547.54
PUR00052,2026-03-12,LLM,SUP003,PSU001,11,63132.62,694458.82
PUR00053,2026-06-12,TGI,SUP003,CAM001,28,11974.9,335297.2
PUR00054,2026-05-29,TGI,SUP005,SW001,26,56411.1,1466688.6
PUR00055,2025-12-26,TGI,SUP001,RAM002,10,90370.67,903706.7
PUR00056,2026-08-19,TGI,SUP001,BAG001,24,6461.84,155084.16
PUR00057,2026-05-09,TGI,SUP001,MOUSE001,22,5174.62,113841.64
PUR00058,2025-10-07,TGI,SUP001,BAG002,40,10635.45,425418.0
PUR00059,2026-05-20,TGI,SUP006,SOFT003,19,92437.15,1756305.85
PUR00060,2026-04-19,LLM,SUP006,SOFT002,26,82602.19,2147656.94
PUR00061,2025-12-30,TGI,SUP007,LAP001,3,1719728.05,5159184.15
PUR00062,2026-06-03,TGI,SUP002,KB002,38,12432.15,472421.7
PUR00063,2025-12-28,TGI,SUP006,SOFT002,17,89395.36,1519721.12
PUR00064,2025-11-16,LLM,SUP001,RAM002,3,93183.67,279551.01
PUR00065,2026-06-18,LLM,SUP001,MOUSE001,25,4877.26,121931.5
PUR00066,2026-08-02,TGI,SUP005,SW001,34,53545.22,1820537.48
PUR00067,2026-08-17,TGI,SUP004,HDD001,10,85291.86,852918.6
PUR00068,2026-01-03,TGI,SUP001,BAG002,11,10210.71,112317.81
PUR00069,2026-01-16,LLM,SUP007,LAP002,1,1420224.73,1420224.73
PUR00070,2026-03-15,TGI,SUP007,DESK001,5,1247640.76,6238203.8
PUR00071,2026-07-08,TGI,SUP001,RAM001,3,56600.68,169802.04
