SaleID,SaleDate,BranchCode,ItemCode,Quantity,UnitSalePrice,UnitCost,Revenue,COGS,GrossProfit,GrossMarginPct
S00001,2026-04-13,TGI,KB001,5,12000,7000,60000,35000,25000,41.66666666666667
S00002,2026-01-21,LLM,KB001,3,12000,7000,36000,21000,15000,41.66666666666667
S00003,2026-07-22,TGI,HUB001,3,12500,7000,37500,21000,16500,44.0
S00004,2026-05-30,LLM,SSD001,2,75000,55000,150000,110000,40000,26.666666666666668
S00005,2026-02-07,LLM,MON002,1,650000,500000,650000,500000,150000,23.076923076923077
S00006,2026-06-10,LLM,PAD001,4,5000,2500,20000,10000,10000,50.0
S00007,2026-03-30,LLM,HUB001,2,12500,7000,25000,14000,11000,44.0
S00008,2026-08-08,TGI,KB002,3,19000,12000,57000,36000,21000,36.84210526315789
S00009,2026-04-18,TGI,HUB001,3,12500,7000,37500,21000,16500,44.0
S00010,2026-08-17,TGI,KB001,2,12000,7000,24000,14000,10000,41.66666666666667
S00011,2026-05-12,TGI,HUB001,2,12500,7000,25000,14000,11000,44.0
S00012,2026-01-09,LLM,KB002,4,19000,12000,76000,48000,28000,36.84210526315789
S00013,2026-04-21,TGI,HUB001,3,12500,7000,37500,21000,16500,44.0
S00014,2026-07-25,LLM,KB001,4,12000,7000,48000,28000,20000,41.66666666666667
S00015,2026-01-02,LLM,KB002,4,19000,12000,76000,48000,28000,36.84210526315789
S00016,2026-02-23,LLM,LAN001,4,9000,5000,36000,20000,16000,44.44444444444444
S00017,2026-06-11,LLM,LAP002,1,1750000,1450000,1750000,1450000,300000,17.142857142857142
S00018,2026-04-05,TGI,MOUSE002,4,5500,3000,22000,12000,10000,45.45454545454545
S00019,2026-07-09,LLM,HEAD001,2,16000,9000,32000,18000,14000,43.75
S00020,2026-04-21,TGI,BAG002,4,19000,10000,76000,40000,36000,47.368421052631575
S00021,2026-07-07,TGI,KB001,5,12000,7000,60000,35000,25000,41.66666666666667
S00022,2026-03-06,LLM,HEAD001,1,16000,9000,16000,9000,7000,43.75
S00023,2026-08-24,LLM,MOUSE001,3,8500,5000,25500,15000,10500,41.17647058823529
S00024,2026-03-22,TGI,HDD001,3,110000,85000,330000,255000,75000,22.727272727272727
S00025,2026-01-05,TGI,RAM002,3,125000,95000,375000,285000,90000,24.0
S00026,2026-07-20,TGI,BAG002,5,19000,10000,95000,50000,45000,47.368421052631575
S00027,2026-04-09,TGI,BAG001,3,13500,6500,40500,19500,21000,51.85185185185185
S00028,2026-07-12,LLM,MON001,1,450000,350000,450000,350000,100000,22.22222222222222
S00029,2026-05-11,TGI,HUB001,3,12500,7000,37500,21000,16500,44.0
S00030,2026-05-17,TGI,MOUSE002,4,5500,3000,22000,12000,10000,45.45454545454545
S00031,2026-07-24,LLM,SOFT003,1,125000,90000,125000,90000,35000,28.000000000000004
S00032,2026-02-21,TGI,FAN001,1,30000,18000,30000,18000,12000,40.0
S00033,2026-05-31,TGI,PAD001,5,5000,2500,25000,12500,12500,50.0
S00034,2026-02-05,TGI,HUB001,3,12500,7000,37500,21000,16500,44.0
S00035,2026-03-27,TGI,RAM001,2,72000,55000,144000,110000,34000,23.61111111111111
S00036,2026-07-04,LLM,CAM001,4,22000,12000,88000,48000,40000,45.45454545454545
S00037,2026-02-13,LLM,SOFT002,2,110000,85000,220000,170000,50000,22.727272727272727
S00038,2026-04-02,LLM,SOFT003,1,125000,90000,125000,90000,35000,28.000000000000004
S00039,2026-05-01,TGI,MOUSE001,5,8500,5000,42500,25000,17500,41.17647058823529
S00040,2026-08-21,LLM,KB001,3,12000,7000,36000,21000,15000,41.66666666666667
S00041,2026-05-17,TGI,FAN001,2,30000,18000,60000,36000,24000,40.0
S00042,2026-06-21,LLM,KB001,1,12000,7000,12000,7000,5000,41.66666666666667
S00043,2026-06-29,LLM,MON001,1,450000,350000,450000,350000,100000,22.22222222222222
S00044,2026-02-21,LLM,FAN001,3,30000,18000,90000,54000,36000,40.0
S00045,2026-04-23,LLM,MON002,1,650000,500000,650000,500000,150000,23.076923076923077
S00046,2026-07-06,TGI,PAD001,5,5000,2500,25000,12500,12500,50.0
S00047,2026-08-12,TGI,KB002,2,19000,12000,38000,24000,14000,36.84210526315789
S00048,2026-02-22,TGI,MON002,1,650000,500000,650000,500000,150000,23.076923076923077
S00049,2026-06-09,TGI,MOUSE002,3,5500,3000,16500,9000,7500,45.45454545454545
S00050,2026-05-25,TGI,BAG002,4,19000,10000,76000,40000,36000,47.368421052631575
S00051,2026-04-08,TGI,PAD001,1,5000,2500,5000,2500,2500,50.0
S00052,2026-07-20,LLM,KB002,5,19000,12000,95000,60000,35000,36.84210526315789
S00053,2026-01-03,TGI,PSU001,3,85000,65000,255000,195000,60000,23.52941176470588
S00054,2026-03-31,TGI,KB002,4,19000,12000,76000,48000,28000,36.84210526315789
S00055,2026-08-21,TGI,HEAD001,2,16000,9000,32000,18000,14000,43.75
S00056,2026-04-14,LLM,BAG002,1,19000,10000,19000,10000,9000,47.368421052631575
S00057,2026-06-27,TGI,SOFT002,3,110000,85000,330000,255000,75000,22.727272727272727
S00058,2026-01-07,TGI,ROUT002,1,105000,75000,105000,75000,30000,28.57142857142857
S00059,2026-03-01,LLM,MON002,1,650000,500000,650000,500000,150000,23.076923076923077
S00060,2026-05-20,TGI,SOFT002,1,110000,85000,110000,85000,25000,22.727272727272727
S00061,2026-08-21,LLM,SSD001,3,75000,55000,225000,165000,60000,26.666666666666668
S00062,2026-05-28,TGI,HDD001,3,110000,85000,330000,255000,75000,22.727272727272727
S00063,2026-04-23,LLM,SOFT003,4,125000,90000,500000,360000,140000,28.000000000000004
S00064,2026-08-15,LLM,LAP003,1,3300000,2800000,3300000,2800000,500000,15.151515151515152
S00065,2026-06-02,LLM,KB001,2,12000,7000,24000,14000,10000,41.66666666666667
